id,text
"369","Apply a gift certificate to your account"
"370","<font size=2><b>Other Features</b></font>"
"371","Edit a review that I wrote"
"372","View my Wish List"
"373","<font size=2><b>Affiliate Statistics</b></font>"
"374","Visit My Affiliate Page"
"375","I'm done managing my account, log me out."
"376","Your affiliate account has not been properly configured. Please signup through the <a href=""{0}"">affiliate signup page</a>, or contact customer service for assistance."
"377","Choose the time period you wish to view"
"378","Level"
"379","People in level"
"380","Click<br />through"
"381","Sales"
"382","Sub-affiliate commission"
"383","<font color=""#FFFFFF""><b>Advertising Tools</b></font>"
"384","Generate Banner Ads"
"385","<font color=""#FFFFFF""><b>Helpful Reminders</b></font>"
"386","Your Link"
"387","Anyone who visits &quot;Your Link&quot; will be tracked, and you will get credit. Place your link anywhere: In e-mails, banner ads, on your website, etc."
"388","<b>Me</b>"
"389","Go"
"390","Click here to &quot;Select All Code&quot;"
"391","Click here to visit {0}"
"392","Advertising Campaign &quot;Direct Link&quot; Examples"
"393","Page"
"394","Example"
"395","Home Page"
"396","Product"
"397","Category"
"398","Search"
"399","Article"
"400","Shopping Cart"
"401","To redeem your gift certificate, please enter your e-mail address below and create a new account. If you are already a customer, please login below."
"402","This gift card has already been applied to your account."
"403","Enter your gift certificate code, then click &quot;Apply&quot;"
"404","My Gift Certificate balance"
"405","You currently have a gift certificate balance of <font size=4><b>{0}</b></font>. This balance will be automatically applied to any future purchases you make."
"406","Here are the top"
"407","most recent purchases using your gift certificates:"
"408","Gift Card ID"
"409","<b>Original<br>Gift Card Value</b>"
"410","<b>Amount Used<br>On This Order</b>"
"411","My Reviews"
"412","<b>Search for a Review</b>"
"413","by Keyword"
"414","by Product Code"
"415","by Date"
"416","Reviews written in the past 1 month"
"417","Reviews written in the past {0} months"
"418","Reviews written in {0}"
"419","No Reviews match your search."
"420","Title"
"421","Rating"
"422","Date"
"423","To place an order, you must be a registered member. Please login or register below."
"424","Please note: Tax has been updated based on your new ""ship to"" address. Please review then resubmit your order."
"425","Please note: Shipping rates have been updated based on your new ""ship to"" address. Please review then resubmit your order."
"426","No Batch or Order ID has been selected."
"427","Order ID #{0} Invalid. No products found on order."
"428","The Discount (or Gift Certificate) Code you entered has already been used. You do not have any more credit left in your account at this time."
"429","Invalid Order ID."
"430","(Shipping Method No Longer Avail.)"
"431","GIFT WRAPPED"
"432","SUBTOTAL"
"433","GIFT WRAP"
"434","SHIPPING"
"435","GIFT CERTIFICATES"
"436","TOTAL"
"437","CASH"
"438","CHANGE"
"439","CHECK"
"440","Bill To"
"441","<font size=4>Unable to generate GUID. Please hit the refresh button in your browser to try again.</font>"
"442","Shipping Method"
"443","Description"
"444","exc VAT"
"445","Additional Information"
"446","Customer ID#"
"447","Password (Type it again)"
"448","""Password"" must be at least 6 characters in length, please try again."
"449","The Email address you typed already has an account."
"450","Federal Tax ID #"
"451","Your Billing Address..."
"452","Your Payment Information..."
"453","If paying via Credit / Debit Card, please fill in the fields below. Otherwise, leave them blank..."
"454","Submit Registration"
"455","<strong>New Customers : Register Below</strong>"
"456","<strong>Returning Customers : Quick Login</strong>"
"457","Login"
"458","<font size=""3"" class=""colors_productname""><b>New Customers</b></font>"
"459","In order to rate a review, you must first login."
"460","<b>Thank you for your feedback!</b>"
"461","In order to write a review, you must first login."
"462","Your review must be less than 1000 characters in length. Your review is currently {0} characters."
"463","Your rating"
"464","Review Title / Subject"
"465","Type your Review..."
"466","Your review may not contain the following characters: {0}"
"469","Name to display"
"470","(Leave this field blank to remain Anonymous)"
"471","Your location"
"472","Save my changes to this Review"
"473","(Your shopping cart is empty)"
"474","(Your shopping cart contains 1 item priced at {0})"
"475","(Your shopping cart contains {0} items for a total cost of {1})"
"476","View My Cart"
"477","(Members Only)"
"478","Average Customer Review: {0}  Based on {1} reviews"
"479","Write a review."
"480","Product price is not filled in. This product cannot be purchased."
"481","Setup Cost"
"482","Regular {0}:"
"483","{0} {1} {2}"
"484","/{0} month(s)"
"485","Your {0}:"
"486","<b>Members Setup Cost:</b>"
"487","<b>Members Recurring Price:</b>"
"488","You save {0} + {1} every {2} month(s)!"
"489","<i><b>You save {0}!</i></b>"
"490","{0} in stock!"
"491","To add the above items to your cart, click the ""Add"" checkboxes then click ""Add To Cart"" &gt;&gt;&gt;"
"492","Browse for more products in the same category as this item:"
"493","Share your knowledge of this product with other customers... <a href=""{0}"">Be the first to write a review</a>"
"494","(Minimum order):&nbsp; {0}"
"495","Availability:"
"496","Check the items you wish to purchase, then click"
"497","{0} by <b>{1}</b>"
"498","Click to view another {0}"
"499","First, Select {0}"
"500","Then, Select {0}"
"501","[Add {0}]"
"502","[Subtract {0}]"
"503","{0}/mo."
"504","Most Helpful"
"505","Newest"
"506","Rating: High to Low"
"507","Rating: Low to High"
"508","No Records Found"
"509","{0} of {1} people found the following review helpful:"
"510",""
"511","{0} from {1}"
"512","Anonymous Person"
"513","<i>Thank you for your feedback on this review. We appreciate your input!</i>"
"514","Was this review helpful to you?"
"515","Sort By:"
"516","Category ID {0} does not exist."
"517","You are here: "
"518","Manufacturer"
"519","and"
"520","There are no items in your cart."
"521","Price Range:"
"522","Price: Low to High"
"523","Price: High to Low"
"524","Most Popular"
"525","Oldest"
"526","{0} per page"
"527","Above {0}"
"528","Below {0}"
"529","Your order must total at least {0} before you may proceed"
"530","Please select if your address is a residential or business address."
"531","There are no items in your shopping cart."
"532","Related Products &amp; Accessories..."
"533","ITEM&nbsp;&nbsp;DESCRIPTION"
"534","QTY"
"535","EACH"
"536","Cannot place order. Maximum orders per day has been exceeded."
"537","[+] View list of options I selected"
"538","Recurring Cost Summary"
"539","Monthly cost during first {0} months: {1}"
"540","(see item for details)"
"541","Monthly cost"
"542","Yearly cost"
"543","Click {0} to remove an item from your cart"
"544","Empty My Entire Cart"
"545","Shipping Rates"
"546","(change my address)"
"547","Calculate Shipping Rates"
"548","Coupon code? Enter it here:"
"549","Show gift options during checkout"
"550","Create  New Ticket"
"551","View My Existing Tickets"
"552","Correspondence"
"553","{0} said:"
"554","Customer said:"
"555","{0} ago"
"556","Post a Reply"
"557","Description / Question"
"558","Add Attachment"
"559","(max 10MB)"
"560","Add More Attachments"
"561","<center><font size=4><b>Invalid Ticket Number.</b></font></center>"
"562","today"
"563","yesterday"
"564","tomorrow"
"565","{0} days ago"
"566","in {0} days"
"567","{0} hour"
"568","{0} hours"
"569","{0} min"
"570","{0} sec"
"571","My Tickets"
"572","Ticket #"
"573","Subject"
"574","Date<br />Created"
"575","Most Recent<br />Reply"
"576","<center><font size=4><b>You have no tickets.</b></font></center>"
"577","Thank you for submitting your ticket. Someone will review your question(s) as soon as possible."
"578","General Information"
"579","Message Details"
"580","My E-mail Address"
"581","E-mail me a copy of this ticket"
"582","NOTE: Your order has been completed, however, the tracking number has not been posted to the shipping carrier's status system. Please allow 1-2 business days before trying again. Thank you."
"583","CURRENT STATUS"
"584","Scheduled Delivery Date: {0}"
"585","<font color=""#FFFFFF""><b>Package Progress...</b></font>"
"586","Time"
"587","Location"
"588","Activity"
"589","NO TRACKING DATA AVAILABLE"
"590","To use the wish list, please create an account below. If you already have an account, simply login..."
